State,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023
Georgia,7.8,7.7,7.6,7.5,7.4,7.4,7.4,7.3,7.3,7.2,7.1,7,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.2,6.1,6,5.9,5.9,5.8,5.8,5.7,5.7,5.7,5.6,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.5,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.4,3.4,3.5,3.5,3.6,3.7,12.4,9.7,8.4,7.7,6.8,6.3,5.5,5.2,5,4.8,4.6,4.4,4.2,4.1,4,3.8,3.7,3.5,3.4,3.3,3.2,3.1,3,3,2.9,2.9,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.4,3.4
Hawaii,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.8,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.3,2.1,2,1.9,1.9,1.9,1.9,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.2,22.6,20.8,17.5,15.7,13.2,13.5,11.5,10.6,10.3,9.5,9.2,8.4,7.7,6.9,6.3,5.5,4.8,4,3.4,3.3,3.2,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.6,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.3,3.1,3,2.8,2.8,2.8,2.9
Idaho,6.8,6.4,6,5.6,5.2,4.9,4.6,4.5,4,4,4,4,4,3.9,3.9,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.9,3,3,3,2.9,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.7,2.8,2.7,11.7,9,7.5,6.6,5.4,5,4.4,4.2,4.2,4.1,4,3.9,3.8,3.6,3.6,3.5,3.4,3.2,3.1,3,2.8,2.7,2.6,2.5,2.5,2.5,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.7,2.8,3,3.1,3.2
Illinois,8.8,8.7,8.6,8.4,8.1,7.9,7.6,7.4,7.2,7,6.8,6.6,6.5,6.3,6.2,6.1,6.1,6,6,6,6,5.9,5.9,5.9,5.9,6,6.1,6.2,6.2,6.2,6.1,6,5.9,5.8,5.8,5.7,5.7,5.6,5.4,5.3,5.1,5,4.9,4.9,4.9,5,5,4.9,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.5,4.4,4.2,4,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.7,3.8,5,18,14.7,12.7,11.5,9.8,9.1,8.2,7.9,7.6,7.2,7,6.8,6.6,6.4,6.4,6.1,5.9,5.5,5.3,5,4.9,4.8,4.6,4.5,4.5,4.4,4.4,4.4,4.5,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.2,4.1,4,4,4.1,4.4,4.6
Indiana,6.9,6.7,6.5,6.4,6.3,6.2,6.1,6.1,6,5.9,5.8,5.8,5.7,5.6,5.5,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.6,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4,3.8,3.7,3.5,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.5,16.8,12.4,10.3,8.9,7.2,6.5,5.6,5.2,5,4.7,4.5,4.4,4.3,4.1,4.1,3.9,3.7,3.5,3.3,3.2,3,2.9,2.8,2.8,2.8,2.9,2.9,3,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3,3.1,3.2,3.3,3.4,3.6,3.6
Iowa,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3,3,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.7,2.7,2.6,2.6,2.6,10.9,8.3,6.7,5.9,5.1,4.7,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.1,4.1,4,3.8,3.6,3.4,3.1,2.9,2.7,2.5,2.4,2.3,2.4,2.6,2.8,2.9,3.1,3.1,3.1,3,3,2.9,2.8,2.7,2.7,2.7,2.7,2.9,3,3.2
Kansas,5.1,5,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.3,4.2,4.1,4,4,3.9,3.9,3.9,3.9,3.9,3.9,4,4,4,4.1,4.1,4.1,4.1,4.1,4,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.2,12.4,9.3,7.5,6.6,5.7,5.3,4.8,4.5,4.3,3.9,3.7,3.6,3.5,3.5,3.5,3.4,3.3,3.1,2.9,2.7,2.6,2.5,2.4,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.8,2.9
Kentucky,7.8,7.7,7.6,7.5,7.3,7.2,7,6.7,6.5,6.3,6,5.9,5.7,5.5,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5,4.9,4.9,4.9,5,5,5.1,5.1,5.1,5.1,5,5,5,4.9,4.9,4.8,4.8,4.6,4.5,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4,4.1,4.1,4.1,4.1,16.7,12.8,5.3,5.8,5.2,5,4.8,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.8,3.8,3.9,3.9,4,4,4,3.9,3.9,3.9,3.9,3.8,3.7,3.8,3.8,3.9,4,4.1,4.2
Louisiana,6,5.9,5.7,5.6,5.6,5.7,5.8,6,6.2,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.7,6.6,6.5,6.4,6.3,6.1,6.1,6,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6,5.9,5.8,5.7,5.5,5.4,5.2,5.1,4.9,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.5,4.7,4.8,4.8,4.8,4.8,4.8,4.7,6.7,13.5,12.2,11,10.3,9.1,8.7,8,7.6,7.4,7,6.8,6.6,6.4,6.1,5.9,5.5,5.2,4.8,4.5,4.3,4.1,4,3.9,3.7,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.4,3.3,3.3,3.3
Maine,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4,4,4,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.1,3.1,3,3,3,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3,2.9,2.8,2.7,2.7,2.8,2.9,3,3.1,3.1,3.2,3.2,3.2,3.2,9.3,9.4,6.6,6.3,4.2,4.1,3.8,3.9,4.2,4.4,4.6,4.8,4.9,4.8,5,4.9,4.8,4.6,4.5,4.2,3.9,3.6,3.2,2.9,2.7,2.6,2.6,2.7,2.7,3,3.1,3.1,3.1,2.9,2.8,2.6,2.4,2.4,2.4,2.4,2.5,2.7,2.8
Maryland,6.3,6.2,6.1,6.1,6,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.3,4.3,4.2,4.2,4.1,4,4,3.9,3.9,3.9,4,4,4,4.1,4.1,4,4.1,4,4,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.3,3.4,3.5,3.5,9,8.8,8.1,7.8,7.1,7,6.7,6.6,6.7,6.4,6.2,6,5.9,5.7,5.7,5.5,5.3,4.8,4.5,4.1,3.7,3.7,3.4,3.2,3.1,3.1,3.2,3.2,3.4,3.2,3.2,3.1,3,3,2.9,2.7,2.5,2.4,2,1.8,1.7,1.6,1.7
Massachusetts,6.5,6.4,6.3,6.2,6.1,6,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.4,5.2,5.2,5.1,5,5,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,2.9,2.9,2.9,2.9,2.8,2.8,2.8,16.9,15.5,14.4,12.7,10.6,10,8.7,8.1,7.8,7.1,6.7,6.4,6.3,5.8,5.8,5.5,5.2,4.8,4.6,4.2,3.9,4,3.9,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,3.7,3.7,3.5,3.7,3.5,3.1,2.8,2.6,2.5,2.6,2.6,2.8
Michigan,8.5,8.4,8.2,8.1,8,7.9,7.7,7.5,7.4,7.2,7,6.8,6.6,6.4,6.2,6,5.9,5.8,5.7,5.6,5.5,5.4,5.2,5.1,5,5,4.9,4.9,4.9,5,5,5,5,5,5,5.1,5.1,5.1,5,4.8,4.7,4.5,4.3,4.3,4.4,4.5,4.6,4.7,4.8,4.7,4.6,4.5,4.4,4.3,4.1,4,4,4,4,4.1,4.1,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,3.9,3.8,3.8,3.8,3.7,22.6,19.1,14.4,12.4,9.9,8.7,7.5,7.1,7,6.5,6.4,6.2,6.2,6.2,6.2,6.2,5.9,5.6,5.3,4.9,4.6,4.4,4.2,4.1,4,4,4,4.1,4.3,4.3,4.4,4.4,4.3,4.3,4.3,4.1,3.8,3.7,3.6,3.6,3.7,3.9,4.1
Minnesota,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.3,4.2,4.1,4,4,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,4,4,4,3.9,3.8,3.7,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.1,3.1,3,3,2.9,2.9,2.9,2.9,3,3.1,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.5,3.6,8.8,11.1,8.6,7.8,6.8,6.2,5.5,5.1,4.8,4.5,4.3,4.1,4,3.9,3.9,3.8,3.7,3.6,3.4,3.2,3,2.8,2.6,2.4,2.3,2.4,2.4,2.6,2.7,2.9,3,3,2.9,2.9,3,2.8,2.8,2.9,2.9,3,3.1,3.1,3.2
Mississippi,8.3,8.2,8.1,8.1,8,7.9,7.9,7.8,7.7,7.6,7.5,7.4,7.2,7.1,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.3,6.3,6.4,6.4,6.4,6.3,6.2,6.1,6,6,5.9,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,4.9,5.1,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.5,5.6,5.7,5.7,5.6,5.6,5.6,5.6,5.8,5.9,15.6,11.2,9.4,8.3,7.5,7.1,6.9,6.7,6.6,6.5,6.4,6.2,6.1,5.9,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,4,3.8,3.7,3.7,3.7,3.8,3.9,4,4.1,4.1,4,3.9,3.7,3.5,3.4,3.2,3.1,3,3.2,3.2,3.3
Missouri,6.6,6.6,6.6,6.6,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.7,5.6,5.6,5.6,5.5,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.7,4.6,4.5,4.3,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.5,3.6,3.5,3.4,3.3,3.2,3.1,3.1,3,3.1,3.1,3.2,3.3,3.3,3.3,3.2,3.1,3,3,3.1,3.2,3.3,3.3,3.4,3.3,3.3,3.4,3.5,11.4,9.5,8,7.2,6.4,6,5.4,5.2,5,4.9,4.8,4.7,4.6,4.4,4.2,4,3.8,3.7,3.5,3.3,3.1,2.9,2.7,2.5,2.3,2.1,2.1,2.2,2.4,2.6,2.7,2.7,2.7,2.7,2.6,2.5,2.5,2.5,2.6,2.7,2.8,2.9,3.1
